Frontal_Inf_Oper_R,Supp_Motor_Area_R,Olfactory_L,Insula_L,Calcarine_R,Cuneus_R,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,SupraMarginal_R,Angular_L,Precuneus_R,Caudate_R,Thalamus_R,Temporal_Sup_L,Temporal_Pole_Sup_L,Temporal_Mid_R,Cerebelum_Crus1_R,Cerebelum_Crus2_R,Cerebelum_8_R,label
-2.8996855e-08,1.6109364e-09,1.1276555e-08,-6.4437455e-09,2.5774982e-08,-2.4969513e-08,-5.4771835e-08,3.54406e-08,-1.77203e-08,-6.4437455e-09,1.1276555e-08,6.443745e-08,2.255311e-08,-6.4437455e-09,-1.6109363e-08,-3.2218728e-09,-4.6717155e-08,-9.665618e-09,-3.2218728e-09,-4.832809e-08,1
8.054681e-09,1.6109364e-09,-3.2218728e-09,-1.6109363e-08,1.2243116e-07,1.9331235e-08,-6.121558e-08,1.9331235e-08,-9.665618e-08,2.8996855e-08,-4.1884345e-08,-4.510622e-08,8.86015e-09,3.54406e-08,0.0,-2.0942172e-08,-7.974135e-08,-7.08812e-08,8.054682e-08,1.6109363e-08,0
6.4437455e-09,-2.255311e-08,9.665618e-09,-4.0273407e-09,0.0,2.4164045e-08,2.5774982e-08,-6.4437455e-09,-1.0068352e-09,-1.77203e-08,6.041011e-10,-1.6109363e-08,8.054681e-09,4.631442e-09,-4.832809e-09,9.665618e-09,9.665618e-09,4.0273407e-09,8.054681e-09,3.2218728e-09,0
0.0,-2.517088e-09,-2.2150375e-09,0.0,1.2686124e-08,-1.6109363e-08,-4.832809e-09,-9.9676685e-09,4.0273407e-09,-2.0136703e-09,-1.1276555e-08,1.2887491e-08,2.2150375e-09,1.6109364e-09,-6.4437455e-09,-1.6109364e-09,3.6246068e-09,-8.054681e-09,4.832809e-09,-7.6519475e-09,0
2.255311e-08,-1.9331235e-08,-2.5774982e-08,-1.2887491e-08,1.2887491e-08,-6.4437455e-09,1.9331235e-08,-1.6109363e-08,7.732494e-08,3.2218728e-09,-2.2150375e-09,-1.2887491e-08,-3.2218725e-08,6.4437455e-09,-6.4437455e-09,8.054681e-09,5.1549964e-08,1.6109363e-08,9.665618e-09,2.5774982e-08,0
-8.054682e-10,-8.054681e-09,1.6109363e-08,-3.0205056e-09,9.665618e-09,-7.2492137e-09,-6.4437455e-09,-1.1276555e-08,2.4164044e-09,-9.665618e-09,1.6914832e-08,2.0942172e-08,3.2218728e-09,-3.2218728e-09,-1.77203e-08,-2.5774982e-08,8.054681e-09,8.457416e-09,2.4164044e-09,-7.2492137e-09,0
-1.77203e-08,-2.7385918e-08,-2.8996855e-08,-4.6717155e-08,-2.5774982e-08,3.2218728e-09,-1.2887491e-08,1.2887491e-08,2.8996855e-08,-2.9802322e-08,9.665618e-09,1.3692959e-08,7.732494e-08,-1.9331235e-08,1.9331235e-08,6.4437455e-09,-4.1884345e-08,3.2218728e-09,7.08812e-08,-2.5774982e-08,1
1.2887491e-08,-2.1407834e-08,-4.832809e-09,1.6109364e-09,8.054681e-09,2.255311e-08,-2.8996855e-08,3.3829664e-08,-6.544429e-09,-2.4164044e-09,-1.77203e-08,-1.9331235e-08,-6.4437455e-09,-1.3692959e-08,1.2082022e-09,-6.4437455e-09,8.054682e-10,-3.2218728e-09,4.0273407e-09,-4.832809e-09,0
-1.6914832e-08,3.2470435e-09,-1.6109364e-09,-4.631442e-09,1.6109364e-09,2.4164045e-08,1.5303895e-08,3.6246068e-09,-6.4437455e-09,1.4498427e-08,-9.665618e-09,-8.86015e-09,3.2218728e-09,4.0273407e-09,0.0,9.665618e-09,9.665618e-09,-4.0273407e-09,4.832809e-09,-2.255311e-08,0
-2.1908734e-07,3.866247e-08,-1.2887491e-08,-7.168667e-08,-1.9331235e-08,-3.866247e-08,-4.510622e-08,-6.2826516e-08,3.54406e-08,5.1549964e-08,-1.0309993e-07,0.0,-1.2887491e-08,9.343431e-08,-5.1549964e-08,1.6109364e-09,3.2218728e-09,-6.443745e-08,5.1549964e-08,-7.2492135e-08,1
